"Symbol","Security","SEC filings","GICS Sector","GICS Sub-Industry","Headquarters Location","Date added","CIK","Founded","date"
"HIG","Hartford (The)","reports","Financials","Property & Casualty Insurance","Hartford, Connecticut","1957-03-04",874766,"1810",2023-01-13
"HAS","Hasbro","reports","Consumer Discretionary","Leisure Products","Pawtucket, Rhode Island","1984-09-30",46080,"1923",2023-01-13
"HCA","HCA Healthcare","reports","Health Care","Health Care Facilities","Nashville, Tennessee","2015-01-27",860730,"1968",2023-01-13
"PEAK","Healthpeak","reports","Real Estate","Health Care REITs","Long Beach, California","2008-03-31",765880,"1985",2023-01-13
"HSIC","Henry Schein","reports","Health Care","Health Care Distributors","Melville, New York","2015-03-17",1000228,"1932",2023-01-13
"HSY","Hershey's","reports","Consumer Staples","Packaged Foods & Meats","Hershey, Pennsylvania","1957-03-04",47111,"1894",2023-01-13
"HES","Hess Corporation","reports","Energy","Integrated Oil & Gas","New York City, New York","1984-05-31",4447,"1919",2023-01-13
"HPE","Hewlett Packard Enterprise","reports","Information Technology","Technology Hardware, Storage & Peripherals","Houston, Texas","2015-11-02",1645590,"2015",2023-01-13
"HLT","Hilton Worldwide","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia","2017-06-19",1585689,"1919",2023-01-13
"HOLX","Hologic","reports","Health Care","Health Care Equipment","Marlborough, Massachusetts","2016-03-30",859737,"1985",2023-01-13
"HD","Home Depot (The)","reports","Consumer Discretionary","Home Improvement Retail","Atlanta, Georgia","1988-03-31",354950,"1978",2023-01-13
"HON","Honeywell","reports","Industrials","Industrial Conglomerates","Charlotte, North Carolina","1964-03-31",773840,"1906",2023-01-13
"HRL","Hormel Foods","reports","Consumer Staples","Packaged Foods & Meats","Austin, Minnesota","2009-03-04",48465,"1891",2023-01-13
"HST","Host Hotels & Resorts","reports","Real Estate","Hotel & Resort REITs","Bethesda, Maryland","2007-03-20",1070750,"1993",2023-01-13
"HWM","Howmet Aerospace","reports","Industrials","Aerospace & Defense","Pittsburgh, Pennsylvania","1964-03-31",4281,"2016",2023-01-13
"HPQ","HP Inc.","reports","Information Technology","Technology Hardware, Storage & Peripherals","Palo Alto, California","1974-12-31",47217,"1939 (2015)",2023-01-13
"HUM","Humana","reports","Health Care","Managed Health Care","Louisville, Kentucky","",49071,"1961",2023-01-13
"HBAN","Huntington Bancshares","reports","Financials","Regional Banks","Columbus, Ohio; Detroit, Michigan","",49196,"1866",2023-01-13
"HII","Huntington Ingalls Industries","reports","Industrials","Aerospace & Defense","Newport News, Virginia","2018-01-03",1501585,"2011",2023-01-13
"IBM","IBM","reports","Information Technology","IT Consulting & Other Services","Armonk, New York","1957-03-04",51143,"1911",2023-01-13
"IEX","IDEX Corporation","reports","Industrials","Industrial Machinery","Lake Forest, Illinois","2019-08-09",832101,"1988",2023-01-13
"IDXX","Idexx Laboratories","reports","Health Care","Health Care Equipment","Westbrook, Maine","2017-01-05",874716,"1983",2023-01-13
"ITW","Illinois Tool Works","reports","Industrials","Industrial Machinery","Glenview, Illinois","1986-02-28",49826,"1912",2023-01-13
"ILMN","Illumina","reports","Health Care","Life Sciences Tools & Services","San Diego, California","2015-11-19",1110803,"1998",2023-01-13
"INCY","Incyte","reports","Health Care","Biotechnology","Wilmington, Delaware","2017-02-28",879169,"1991",2023-01-13
"IR","Ingersoll Rand","reports","Industrials","Industrial Machinery","Davidson, North Carolina","2020-03-03",1699150,"1859",2023-01-13
"INTC","Intel","reports","Information Technology","Semiconductors","Santa Clara, California","1976-12-31",50863,"1968",2023-01-13
"ICE","Intercontinental Exchange","reports","Financials","Financial Exchanges & Data","Atlanta, Georgia","2007-09-26",1571949,"2000",2023-01-13
"IP","International Paper","reports","Materials","Paper Packaging","Memphis, Tennessee","1957-03-04",51434,"1898",2023-01-13
"IPG","The Interpublic Group of Companies","reports","Communication Services","Advertising","New York City, New York","1992-10-01",51644,"1961 (1930)",2023-01-13
"IFF","International Flavors & Fragrances","reports","Materials","Specialty Chemicals","New York City, New York","1976-03-31",51253,"1958 (1889)",2023-01-13
"INTU","Intuit","reports","Information Technology","Application Software","Mountain View, California","2000-12-05",896878,"1983",2023-01-13
"ISRG","Intuitive Surgical","reports","Health Care","Health Care Equipment","Sunnyvale, California","2008-06-02",1035267,"1995",2023-01-13
"IVZ","Invesco","reports","Financials","Asset Management & Custody Banks","Atlanta, Georgia","2008-08-21",914208,"1935",2023-01-13
"INVH","Invitation Homes","reports","Real Estate","Residential REITs","Dallas, Texas","2022-09-19",1687229,"2012",2023-01-13
"IQV","IQVIA","reports","Health Care","Life Sciences Tools & Services","Durham, North Carolina","2017-08-29",1478242,"1982",2023-01-13
"IRM","Iron Mountain","reports","Real Estate","Specialized REITs","Boston, Massachusetts","2009-01-06",1020569,"1951",2023-01-13
"JBHT","J.B. Hunt","reports","Industrials","Trucking","Lowell, Arkansas","2015-07-01",728535,"1961",2023-01-13
"JKHY","Jack Henry & Associates","reports","Information Technology","Data Processing & Outsourced Services","Monett, Missouri","2018-11-13",779152,"1976",2023-01-13
"J","Jacobs Solutions","reports","Industrials","Construction & Engineering","Dallas, Texas","2007-10-26",52988,"1947",2023-01-13
"JNJ","Johnson & Johnson","reports","Health Care","Pharmaceuticals","New Brunswick, New Jersey","1973-06-30",200406,"1886",2023-01-13
"JCI","Johnson Controls","reports","Industrials","Building Products","Cork, Ireland","2010-08-27",833444,"1885",2023-01-13
"JPM","JPMorgan Chase","reports","Financials","Diversified Banks","New York City, New York","1975-06-30",19617,"2000 (1799 / 1871)",2023-01-13
"JNPR","Juniper Networks","reports","Information Technology","Communications Equipment","Sunnyvale, California","2006-06-02",1043604,"1996",2023-01-13
"K","Kellogg's","reports","Consumer Staples","Packaged Foods & Meats","Battle Creek, Michigan","1989-09-11",55067,"1906",2023-01-13
"KDP","Keurig Dr Pepper","reports","Consumer Staples","Soft Drinks","Burlington, Massachusetts","2022-06-21",1418135,"1981",2023-01-13
"KEY","KeyCorp","reports","Financials","Regional Banks","Cleveland, Ohio","1994-03-01",91576,"1825",2023-01-13
"KEYS","Keysight","reports","Information Technology","Electronic Equipment & Instruments","Santa Rosa, California","2018-11-06",1601046,"2014 (1939)",2023-01-13
"KMB","Kimberly-Clark","reports","Consumer Staples","Household Products","Irving, Texas","1957-03-04",55785,"1872",2023-01-13
"KIM","Kimco Realty","reports","Real Estate","Retail REITs","New Hyde Park, New York","2006-04-04",879101,"1958",2023-01-13
"KMI","Kinder Morgan","reports","Energy","Oil & Gas Storage & Transportation","Houston, Texas","2012-05-25",1506307,"1997",2023-01-13
"KLAC","KLA Corporation","reports","Information Technology","Semiconductor Equipment","Milpitas, California","",319201,"1975/1977 (1997)",2023-01-13
"KHC","Kraft Heinz","reports","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois; Pittsburgh, Pennsylvania","2015-07-06",1637459,"2015 (1869)",2023-01-13
"KR","Kroger","reports","Consumer Staples","Food Retail","Cincinnati, Ohio","1957-03-04",56873,"1883",2023-01-13
"LHX","L3Harris","reports","Industrials","Aerospace & Defense","Melbourne, Florida","2008-09-22",202058,"2019 (1895)",2023-01-13
"LH","LabCorp","reports","Health Care","Health Care Services","Burlington, North Carolina","2004-11-01",920148,"1978",2023-01-13
"LRCX","Lam Research","reports","Information Technology","Semiconductor Equipment","Fremont, California","2012-06-29",707549,"1980",2023-01-13
"LW","Lamb Weston","reports","Consumer Staples","Packaged Foods & Meats","Eagle, Idaho","2018-12-03",1679273,"2016 (1950)",2023-01-13
"LVS","Las Vegas Sands","reports","Consumer Discretionary","Casinos & Gaming","Las Vegas, Nevada","2019-10-03",1300514,"1988",2023-01-13
"LDOS","Leidos","reports","Industrials","Diversified Support Services","Reston, Virginia","2019-08-09",1336920,"1969",2023-01-13
"LEN","Lennar","reports","Consumer Discretionary","Homebuilding","Miami, Florida","2005-10-04",920760,"1954",2023-01-13
"LNC","Lincoln Financial","reports","Financials","Multi-line Insurance","Radnor, Pennsylvania","1976-06-30",59558,"1905",2023-01-13
"LIN","Linde plc","reports","Materials","Industrial Gases","Guildford, United Kingdom","1992-07-01",1707925,"1879",2023-01-13
"LYV","Live Nation Entertainment","reports","Communication Services","Movies & Entertainment","Beverly Hills, California","2019-12-23",1335258,"2010",2023-01-13
"LKQ","LKQ Corporation","reports","Consumer Discretionary","Distributors","Chicago, Illinois","2016-05-23",1065696,"1998",2023-01-13
"LMT","Lockheed Martin","reports","Industrials","Aerospace & Defense","Bethesda, Maryland","1984-07-31",936468,"1995",2023-01-13
"L","Loews Corporation","reports","Financials","Multi-line Insurance","New York City, New York","",60086,"1959",2023-01-13
"LOW","Lowe's","reports","Consumer Discretionary","Home Improvement Retail","Mooresville, North Carolina","1984-02-29",60667,"1904/1946/1959",2023-01-13
"LUMN","Lumen Technologies","reports","Communication Services","Alternative Carriers","Monroe, Louisiana","1999-03-25",18926,"1983 (1877)",2023-01-13
"LYB","LyondellBasell","reports","Materials","Specialty Chemicals","Rotterdam, Netherlands","2012-09-05",1489393,"2007",2023-01-13
"MTB","M&T Bank","reports","Financials","Regional Banks","Buffalo, New York","2004-02-23",36270,"1856",2023-01-13
"MRO","Marathon Oil","reports","Energy","Oil & Gas Exploration & Production","Houston, Texas","1991-05-01",101778,"1887",2023-01-13
"MPC","Marathon Petroleum","reports","Energy","Oil & Gas Refining & Marketing","Findlay, Ohio","2011-07-01",1510295,"2009 (1887)",2023-01-13
"MKTX","MarketAxess","reports","Financials","Financial Exchanges & Data","New York City, New York","2019-07-01",1278021,"2000",2023-01-13
"MAR","Marriott International","reports","Consumer Discretionary","Hotels, Resorts & Cruise Lines","Bethesda, Maryland","",1048286,"1927",2023-01-13
"MMC","Marsh McLennan","reports","Financials","Insurance Brokers","New York City, New York","1987-08-31",62709,"1905",2023-01-13
"MLM","Martin Marietta Materials","reports","Materials","Construction Materials","Raleigh, North Carolina","2014-07-02",916076,"1993",2023-01-13
"MAS","Masco","reports","Industrials","Building Products","Livonia, Michigan","1981-06-30",62996,"1929",2023-01-13
"MA","Mastercard","reports","Information Technology","Data Processing & Outsourced Services","Harrison, New York","2008-07-18",1141391,"1966",2023-01-13
"MTCH","Match Group","reports","Communication Services","Interactive Media & Services","Dallas, Texas","2021-09-20",891103,"1986",2023-01-13
"MKC","McCormick & Company","reports","Consumer Staples","Packaged Foods & Meats","Hunt Valley, Maryland","2003-03-20",63754,"1889",2023-01-13
"MCD","McDonald's","reports","Consumer Discretionary","Restaurants","Chicago, Illinois","1970-06-30",63908,"1940",2023-01-13
"MCK","McKesson","reports","Health Care","Health Care Distributors","Irving, Texas","",927653,"1833",2023-01-13
"MDT","Medtronic","reports","Health Care","Health Care Equipment","Dublin, Ireland","1986-10-31",1613103,"1949",2023-01-13
"MRK","Merck & Co.","reports","Health Care","Pharmaceuticals","Kenilworth, New Jersey","1957-03-04",310158,"1891",2023-01-13
"META","Meta Platforms","reports","Communication Services","Interactive Media & Services","Menlo Park, California","2013-12-23",1326801,"2004",2023-01-13
"MET","MetLife","reports","Financials","Life & Health Insurance","New York City, New York","",1099219,"1868",2023-01-13
"MTD","Mettler Toledo","reports","Health Care","Life Sciences Tools & Services","Columbus, Ohio","2016-09-06",1037646,"1945",2023-01-13
"MGM","MGM Resorts","reports","Consumer Discretionary","Casinos & Gaming","Paradise, Nevada","2017-07-26",789570,"1986",2023-01-13
"MCHP","Microchip Technology","reports","Information Technology","Semiconductors","Chandler, Arizona","2007-09-07",827054,"1989",2023-01-13
"MU","Micron Technology","reports","Information Technology","Semiconductors","Boise, Idaho","1994-09-27",723125,"1978",2023-01-13
"MSFT","Microsoft","reports","Information Technology","Systems Software","Redmond, Washington","1994-06-01",789019,"1975",2023-01-13
"MAA","Mid-America Apartment Communities","reports","Real Estate","Residential REITs","Memphis, Tennessee","2016-12-02",912595,"1977",2023-01-13
"MRNA","Moderna","reports","Health Care","Biotechnology","Cambridge, Massachusetts","2021-07-21",1682852,"2010",2023-01-13
"MHK","Mohawk Industries","reports","Consumer Discretionary","Home Furnishings","Calhoun, Georgia","2013-12-23",851968,"1878",2023-01-13
"MOH","Molina Healthcare","reports","Health Care","Managed Health Care","Long Beach, California","2022-03-02",1179929,"1980",2023-01-13
"TAP","Molson Coors Beverage Company","reports","Consumer Staples","Brewers","Chicago, Illinois","1976-06-30",24545,"2005 (Molson 1786, Coors 1873)",2023-01-13
"MDLZ","Mondelez International","reports","Consumer Staples","Packaged Foods & Meats","Chicago, Illinois","2012-10-02",1103982,"2012",2023-01-13
"MPWR","Monolithic Power Systems","reports","Information Technology","Semiconductors","Kirkland, Washington","2021-02-12",1280452,"1997",2023-01-13
"MNST","Monster Beverage","reports","Consumer Staples","Soft Drinks","Corona, California","2012-06-28",865752,"2012 (1935)",2023-01-13
"MCO","Moody's Corporation","reports","Financials","Financial Exchanges & Data","New York City, New York","",1059556,"1909",2023-01-13
"MS","Morgan Stanley","reports","Financials","Investment Banking & Brokerage","New York City, New York","",895421,"1935",2023-01-13
"MOS","The Mosaic Company","reports","Materials","Fertilizers & Agricultural Chemicals","Tampa, Florida","2011-09-26",1285785,"2004 (1865 / 1909)",2023-01-13
"MSI","Motorola Solutions","reports","Information Technology","Communications Equipment","Chicago, Illinois","",68505,"1928 (2011)",2023-01-13
"MSCI","MSCI","reports","Financials","Financial Exchanges & Data","New York City, New York","2018-04-04",1408198,"1969",2023-01-13
"NDAQ","Nasdaq, Inc.","reports","Financials","Financial Exchanges & Data","New York City, New York","2008-10-22",1120193,"1971",2023-01-13
